,0
0,0.114748146
1,0.066877237
2,0.023937237
3,0.006062691
4,0.023526328
5,-0.009757309
6,-0.034617309
7,-0.041602763
8,-0.001539127
9,0.073657237
10,0.104886328
11,0.093586328
12,0.030100873
13,-0.034617309
14,-0.05865549
15,-0.035850036
16,-0.025988218
17,-0.0364664
18,-0.044068218
19,-0.034411854
20,0.017362691
21,0.060508146
22,0.061740873
23,0.011609964
24,-0.043657309
25,-0.09481549
26,-0.092350036
27,-0.085364581
28,-0.112484581
29,-0.109402763
30,-0.107348218
31,-0.036260945
32,0.041606328
33,0.076533601
34,0.057426328
35,-0.04057549
36,-0.107553672
37,-0.129742763
38,-0.134673672
39,-0.1313864
40,-0.1133064
41,-0.093788218
42,-0.035644581
43,0.061329964
44,0.127280873
45,0.14022451
46,0.077560873
47,-0.022084581
48,-0.094404581
49,-0.1291264
50,-0.151931854
51,-0.14905549
52,-0.138371854
53,-0.105499127
54,-0.003799127
55,0.097900873
56,0.152757237
57,0.130773601
58,0.064000873
59,-0.004004581
60,-0.051259127
61,-0.047150036
62,-0.041602763
63,-0.045300945
64,-0.035644581
65,0.028251782
66,0.122966328
67,0.199600873
68,0.227953601
69,0.182548146
70,0.129129964
71,0.094613601
72,0.07694451
73,0.082080873
74,0.07016451
75,0.053728146
76,0.086600873
77,0.144949964
78,0.21480451
79,0.249937237
80,0.21028451
81,0.155633601
82,0.094202691
83,0.051262691
84,0.049413601
85,0.039551782
86,0.029895419
87,0.040168146
88,0.078588146
89,0.158099055
90,0.207202691
91,0.203093601
92,0.153168146
93,0.068315419
94,0.001131782
95,-0.041602763
96,-0.071599127
97,-0.1178264
98,-0.1359064
99,-0.114744581
100,-0.067079127
101,0.014075419
102,0.047769964
103,0.028457237
104,-0.013250036
105,-0.060504581
106,-0.100773672
107,-0.134673672
108,-0.181517309
109,-0.224457309
110,-0.227744581
111,-0.193639127
112,-0.092350036
113,0.005446328
114,0.056399055
115,0.064822691
116,0.025169964
117,-0.0183864
118,-0.0545464
119,-0.09029549
120,-0.136522763
121,-0.152959127
122,-0.124400945
123,-0.038931854
124,0.063179055
125,0.104886328
126,0.104680873
127,0.069137237
128,0.036675419
129,0.026197237
130,0.021882691
131,0.000309964
132,-0.035644581
133,-0.057217309
134,-0.0409864
135,0.008117237
136,0.045099055
137,0.073040873
138,0.058659055
139,0.044688146
140,0.045920873
141,0.030717237
142,0.004829964
143,-0.059682763
144,-0.096664581
145,-0.101184581
146,-0.078173672
147,-0.0477664
148,-0.034617309
149,-0.033384581
150,-0.059477309
151,-0.0568064
152,-0.053313672
